物件名,築年数,専有面積
Ｔｈｅ　ｇｌｏｗ　Ｍｉｔａ,0,29.02
南部坂コンパウンド　B棟,41,357.32
リーヴァ築地,20,40.5
東京メトロ有楽町線 護国寺駅 3階建 新築,0,61.67
Terrace The 本郷,2,58.25
東京メトロ南北線 東大前駅 10階建 築2年,2,58.25
東神田テラスレジデンス,7,27.42
都営新宿線 岩本町駅 25階建 築7年,7,57.31
グランカーサ江戸川橋,2,25.28
アレーロ江戸川橋,10,20.02
AIFLAT文京本駒込,3,25.9
リエトコートアルクスタワー,18,47.43
福信館,12,42.28
東京メトロ千代田線 千駄木駅 11階建 築12年,12,42.28
グローリオシェルト水道橋,0,26.33
アルファグランデ千桜タワー,7,57.31
ルフォンプログレ文京湯島,5,25.42
La Perla岩本町,5,54.28
セトルコート文京千石,11,25.96
都営三田線 千石駅 11階建 築11年,11,25.96
パークアクシス日本橋浜町レジデンス,7,40.87
東京メトロ南北線 本駒込駅 12階建 築30年,30,54.81
カーサリリオ,15,34.16
東京メトロ南北線 東大前駅 2階建 築15年,15,34.16
レオーネ秋葉原,3,25.57
関口１丁目ハウス,0,85.48
GRAN　PASEO文京小日向,2,42.47
ルミシティ月島,0,26.88
ＡＬＥＲＯ　Ｂｕｎｋｙｏ Ｈａｋｕｓａｎ,7,40.75
東京メトロ丸ノ内線 本郷三丁目駅 10階建 築12年,12,43.32
パークタワー勝どきサウス,2,50.66
都営大江戸線 勝どき駅 地下3地上58階建 築2年,2,50.66
GRANPASEO白山,5,40.25
東京メトロ東西線 茅場町駅 12階建 築20年,20,45.61
カスタリア茅場町,20,45.61
グランボヌール茗荷谷,2,38.23
プロジェティーム・ハイヴ,8,21.91
東京メトロ丸ノ内線 茗荷谷駅 4階建 築8年,8,21.91
東京メトロ丸ノ内線 御茶ノ水駅 15階建 築3年,3,40.93
ＪＲ山手線 神田駅 9階建 築5年,5,54.28
フォルテ小石川,34,36.43
都営新宿線 岩本町駅 地下1地上13階建 築7年,7,27.62
フリッシュ八重洲,15,57.1
Latias京橋,2,44.98
エバーグリーンアベニュー,12,32.08
シュロス初台,20,59.67
レジディア文京音羽II,17,22.37
GRANSITE千代田富士見,3,33.79
東京メトロ有楽町線 飯田橋駅 10階建 築3年,3,33.79
麻布マナー　AzabuManor,22,258.78
エストリル,2,56.0
京王新線 初台駅 3階建 新築,0,63.54
グラン　プルミエール,0,63.54
Ｌｉｖｅ　Ｆｌａｔ茅場町,6,40.06
東京メトロ半蔵門線 水天宮前駅 11階建 築6年,6,40.06
ドムス・スタイル銀座東,8,43.04
クリストファーヒルズ,21,64.34
カスタリア本駒込,11,28.85
JP noie 恵比寿西,6,113.0
コンシェリア・デュー勝どき,17,21.17
ミオカステーロ文京千駄木,22,33.88
ザ・パークハビオ本郷菊坂,4,27.08
ＳＯＵ西原,1,40.14
Ｄ．Ｌｕｓｓｏ小石川,8,44.46
パークキューブ茅場町,19,58.03
ザ・パークハビオ人形町レジデンス,2,31.61
ＪＲ山手線 西日暮里駅 10階建 築8年,8,28.31
ザファースト文京千駄木,8,28.31
ディームス大手町ノース,5,27.02
東京メトロ銀座線 神田駅 地下1地上12階建 築5年,5,27.02
Cocoon Nishihara,6,38.1
ZOOM月島,4,40.7
東京メトロ有楽町線 江戸川橋駅 8階建 築2年,2,25.28
京王新線 幡ヶ谷駅 3階建 築4年,4,44.4
RIKEENO　渋谷本町,4,44.4
コート徳川山,14,55.14
リヴシティ初台,2,33.89
パークアクシス日本橋ステージ,21,32.27
HOUSE岩本町,17,49.01
Tomihisa Cross コンフォートタワー,10,60.45
Alpha Prime日本橋EAST,5,41.45
ウェリス代官山猿楽町テラス,0,94.26
グランエッグス東大前,12,19.22
東京メトロ日比谷線 小伝馬町駅 11階建 築8年,8,40.38
コンポジット代々木,3,20.7
THE TOKYO TOWERS SEATOWER,18,57.51
ソルテ千駄ヶ谷,0,33.27
キャピタルゲートプレイス ザ・タワー,10,41.82
レジディア文京湯島,22,31.4
エステージ六義園,24,34.29
